RANK	Card				Plays	Wins	WinRate	WAP
75	GRASS				840	332	39.52	0.021
76	LIVESTOCK			509	200	39.29	0.058
77	TUNDRA FARMING			553	216	39.06	0.109
78	BRIBED COMMITTEE		699	273	39.06	0.044
79	GANYMEDE COLONY			766	299	39.03	0.055
80	PROTECTED VALLEY		883	344	38.96	0.061
81	SUBTERRANEAN RESERVOIR		764	297	38.87	0.05
82	OPEN CITY			604	234	38.74	0.07
83	INVENTORS			857	332	38.74	-0.008
84	ORE PROCESSOR			176	68	38.64	0.095
85	NITROPHILIC MOSS		757	292	38.57	0.021
86	PREDATORS			376	144	38.3	0.048
87	SOLAR WIND POWER		1161	444	38.24	0.052
88	CARTEL				684	260	38.01	0.05
89	MOHOLE AREA			654	248	37.92	0.05
90	ELECTRO CATAPULT		796	300	37.69	0.018
91	STANDARD TECHNOLOGY		832	313	37.62	0.017
92	SEARCH FOR LIFE			521	195	37.43	0.027
93	PROTECTED HABITATS		1101	412	37.42	-0.001
94	NOCTIS FARMING			869	324	37.28	0.04
95	RESEARCH			1170	436	37.26	0.035
96	INDUSTRIAL CENTER		938	347	36.99	-0.006
97	LAGRANGE OBSERVATORY		1120	413	36.88	0.014
98	IO MINING INDUSTRIES		800	295	36.88	0.041
99	SPACE ELEVATOR			937	344	36.71	0.03
100	MIRANDA RESORT			871	319	36.62	0.044
101	STEELWORKS			186	68	36.56	0.072
102	MINING AREA			1022	373	36.5	0.05
103	NATURAL PRESERVE		842	307	36.46	0.031
104	AQUIFER PUMPING			177	64	36.16	0.143
105	TRANS-NEPTUNE PROBE		1014	366	36.09	-0.012
106	ASTEROID MINING CONSORTIUM	924	331	35.82	0.044
107	BIOMASS COMBUSTORS		216	77	35.65	-0.037
108	WORMS				183	65	35.52	0.058
109	GENE REPAIR			942	333	35.35	0.025
110	RAD-CHEM FACTORY		844	298	35.31	0.019
111	WINDMILLS			527	186	35.29	0.031
112	ADVANCED ALLOYS			1097	386	35.19	0.056
113	HEAT TRAPPERS			310	109	35.16	-0.049
114	BREATHING FILTERS		596	207	34.73	0.056
115	ASTEROID MINING			900	312	34.67	-0.008
116	MINING RIGHTS			1166	404	34.65	0.022
117	IRONWORKS			110	38	34.55	0.057
118	SPACE STATION			1061	366	34.5	0.004
119	CALLISTO PENAL MINES		817	281	34.39	-0.01
120	LICHEN				662	226	34.14	-0.044
121	MEDICAL LAB			1028	347	33.75	0.018
122	SATELLITES			652	220	33.74	-0.008
123	TOLL STATION			578	194	33.56	0.022
124	IMPORTED GHG			874	293	33.52	-0.018
125	FUELED GENERATORS		555	186	33.51	0.032
126	GHG PRODUCING BACTERIA		287	96	33.45	0.026
127	ROBOTIC WORKFORCE		864	288	33.33	-0.028
128	MAGNETIC FIELD GENERATORS	270	90	33.33	0.076
129	COMMERCIAL DISTRICT		920	306	33.26	0.022
130	PEROXIDE POWER			599	199	33.22	-0.004
131	CARETAKER CONTRACT		130	43	33.08	0.082
132	VESTA SHIPYARD			1015	335	33.0	0.013
133	BUILDING INDUSTRIES		843	278	32.98	0.018
134	NOCTIS CITY			1081	356	32.93	0.043
135	EQUATORIAL MAGNETIZER		225	74	32.89	0.026
136	METHANE FROM TITAN		727	239	32.87	0.028
137	LAVA FLOWS			858	281	32.75	0.004
138	BEAM FROM A THORIUM ASTEROID	490	160	32.65	0.047
139	IMPORT OF ADVANCED GHG		782	250	31.97	-0.013
140	ROVER CONSTRUCTION		1154	368	31.89	0.039
141	PETS				946	299	31.61	0.019
142	POWER PLANT			816	255	31.25	-0.017
143	BLACK POLAR DUST		343	107	31.2	0.012
144	ADAPTATION TECHNOLOGY		374	116	31.02	-0.03
145	STRIP MINE			768	238	30.99	-0.006
146	MAGNETIC FIELD DOME		330	102	30.91	0.012
147	CUPOLA CITY			923	284	30.77	0.026
148	TARDIGRADES			283	87	30.74	0.003
149	MINE				1017	311	30.58	-0.007
150	MINING EXPEDITION		538	163	30.3	-0.031
151	CAPITAL				780	236	30.26	0.019
152	PHYSICS COMPLEX			400	120	30.0	0.017
153	ACQUIRED COMPANY		885	265	29.94	0.001
154	TROPICAL RESORT			357	106	29.69	0.019
155	ZEPPELINS			539	160	29.68	0.037
156	SPONSORS			952	281	29.52	-0.012
157	LIGHTNING HARVEST		618	182	29.45	-0.019
158	HACKERS				239	70	29.29	-0.053
159	GHG FACTORIES			427	125	29.27	-0.053
160	NITRITE REDUCING BACTERIA	414	121	29.23	0.023
161	DOMED CRATER			764	223	29.19	0.02
162	URBANIZED AREA			852	247	28.99	0.006
163	INSULATION			159	46	28.93	0.032
164	TITANIUM MINE			1019	294	28.85	-0.013
165	FUEL FACTORY			885	255	28.81	-0.024
166	MARTIAN RAILS			542	155	28.6	-0.014
167	CORPORATE STRONGHOLD		583	166	28.47	-0.027
168	POWER SUPPLY CONSORTIUM		454	129	28.41	-0.048
169	ENERGY SAVING			311	88	28.3	-0.026
170	WATER SPLITTING PLANT		107	30	28.04	-0.009
171	PHOBOS SPACE HAVEN		892	249	27.91	-0.038
172	COLONIZER TRAINING CAMP		608	169	27.8	-0.062
173	ARTIFICIAL PHOTOSYNTHESIS	705	196	27.8	-0.033
174	GREAT DAM			565	157	27.79	-0.018
175	WAVE POWER			539	149	27.64	-0.0
176	CARBONATE PROCESSING		418	115	27.51	-0.098
177	DEEP WELL HEATING		899	243	27.03	-0.005
178	IMMIGRANT CITY			1192	321	26.93	-0.056
179	GEOTHERMAL POWER		689	185	26.85	-0.036
180	REGOLITH EATERS			317	85	26.81	-0.02
181	ARCHAEBACTERIA			523	140	26.77	-0.033
182	IMMIGRATION SHUTTLES		708	189	26.69	0.004
183	CLOUD SEEDING			420	112	26.67	-0.007
184	POWER INFRASTRUCTURE		227	60	26.43	-0.031
185	DESIGNED MICROORGANISMS		640	168	26.25	-0.01
186	SOLETTA				252	66	26.19	-0.068
187	RAD-SUITS			605	156	25.79	-0.007
188	INDUSTRIAL MICROBES		896	231	25.78	-0.008
189	SOLAR POWER			615	158	25.69	-0.043
190	NUCLEAR POWER			421	107	25.42	-0.07
191	RELEASE OF INERT GASES		722	181	25.07	0.006
192	UNDERGROUND CITY		789	197	24.97	-0.037
193	GREAT ESCARPMENT CONSORTIUM	556	136	24.46	-0.024
194	GIANT SPACE MIRROR		541	132	24.4	-0.038
195	ADAPTED LICHEN			573	133	23.21	-0.054
196	EXTREME-COLD FUNGUS		321	74	23.05	0.042
197	LUNAR BEAM			397	91	22.92	-0.104
198	TECTONIC STRESS POWER		459	103	22.44	-0.044
199	SOIL FACTORY			365	81	22.19	-0.063
200	FUSION POWER			487	101	20.74	-0.06
201	AEROBRAKED AMMONIA ASTEROID	231	46	19.91	-0.055
202	DUST SEALS			204	40	19.61	-0.044
203	FOOD FACTORY			309	60	19.42	-0.1
204	SPACE MIRRORS			276	48	17.39	-0.109
205	MICRO-MILLS			299	51	17.06	-0.098
206	POWER GRID			140	21	15.0	-0.042
207	SECURITY FLEET			341	39	11.44	-0.084
208	UNDERGROUND DETONATIONS		51	4	7.84	-0.212
