RANK	Card	Plays	Wins	Win Rate	WAP
49	PSYCHROPHILES	409	170	41.56	0.097
50	MINERAL DEPOSIT	733	304	41.47	0.064
51	RESTRICTED AREA	742	307	41.37	0.049
52	QUANTUM EXTRACTOR	569	235	41.3	0.064
53	TECHNOLOGY DEMONSTRATION	807	333	41.26	0.036
54	LIVESTOCK	400	165	41.25	0.038
55	DEVELOPMENT CENTER	604	249	41.23	0.037
56	CARTEL	541	223	41.22	0.114
57	ALGAE	597	245	41.04	0.054
58	NUCLEAR ZONE	645	264	40.93	0.044
59	VIRAL ENHANCERS	768	314	40.89	0.03
60	ENERGY TAPPING	259	105	40.54	0.082
61	INVENTORS' GUILD	556	225	40.47	0.032
62	GRASS	544	220	40.44	0.007
63	OPEN CITY	391	158	40.41	0.111
64	HEATHER	553	223	40.33	0.059
65	CONVOY FROM EUROPA	646	260	40.25	0.039
66	PREDATORS	318	128	40.25	0.056
67	RESEARCH OUTPOST	772	310	40.16	0.12
68	PLANTATION	610	244	40.0	0.049
69	STEELWORKS	148	59	39.86	0.06
70	LOCAL HEAT TRAPPING	375	149	39.73	0.03
71	RESEARCH	776	307	39.56	0.064
72	EARTH OFFICE	706	279	39.52	0.025
73	SUBTERRANEAN RESERVOIR	454	179	39.43	0.041
74	BUSHES	608	238	39.14	0.026
75	WINDMILLS	381	149	39.11	0.017
76	GANYMEDE COLONY	550	215	39.09	0.106
77	ASTEROID	677	264	39.0	0.026
78	TOWING A COMET	577	225	38.99	0.017
79	MOSS	542	211	38.93	0.063
80	GHG PRODUCING BACTERIA	203	79	38.92	0.064
81	CARETAKER CONTRACT	72	28	38.89	-0.022
82	SMALL ANIMALS	417	162	38.85	0.04
83	ROBOTIC WORKFORCE	599	232	38.73	0.052
84	IRONWORKS	75	29	38.67	0.108
85	NATURAL PRESERVE	463	179	38.66	0.043
86	MIRANDA RESORT	649	250	38.52	0.078
87	WATER IMPORT FROM EUROPA	483	186	38.51	0.09
88	NOCTIS FARMING	641	245	38.22	0.052
89	SYMBIOTIC FUNGUS	202	77	38.12	0.099
90	ELECTRO CATAPULT	506	192	37.94	0.049
91	SHUTTLES	578	219	37.89	0.038
92	LIGHTNING HARVEST	425	160	37.65	0.041
93	RESEARCH COORDINATION	534	201	37.64	-0.001
94	TRANS-NEPTUNE PROBE	704	265	37.64	0.037
95	TERRAFORMING GANYMEDE	479	179	37.37	0.095
96	LAGRANGE OBSERVATORY	791	294	37.17	0.017
97	OLYMPUS CONFERENCE	801	297	37.08	0.043
98	ORE PROCESSOR	116	43	37.07	0.035
99	MINING AREA	657	241	36.68	0.042
100	IMPORTED GHG	591	216	36.55	0.011
101	COMET	600	219	36.5	0.001
102	TUNDRA FARMING	437	159	36.38	0.064
103	NITROPHILIC MOSS	550	200	36.36	-0.009
104	MEDICAL LAB	718	261	36.35	0.041
105	BREATHING FILTERS	499	181	36.27	0.029
106	EQUATORIAL MAGNETIZER	185	67	36.22	0.091
107	GENE REPAIR	638	231	36.21	0.053
108	SOLAR WIND POWER	722	257	35.6	0.02
109	ADVANCED ALLOYS	743	264	35.53	0.056
110	MAGNETIC FIELD DOME	234	83	35.47	0.038
111	PETS	609	216	35.47	0.057
112	COLONIZER TRAINING CAMP	429	152	35.43	0.06
113	PROTECTED VALLEY	554	196	35.38	0.053
114	INDUSTRIAL CENTER	620	219	35.32	-0.013
115	PROTECTED HABITATS	678	239	35.25	0.031
116	MAGNETIC FIELD GENERATORS	176	62	35.23	0.105
117	COMMERCIAL DISTRICT	638	224	35.11	0.056
118	SPACE STATION	720	252	35.0	0.05
119	IO MINING INDUSTRIES	566	198	34.98	0.014
120	MINING RIGHTS	714	249	34.87	0.025
121	DEEP WELL HEATING	554	193	34.84	0.032
122	ROVER CONSTRUCTION	775	269	34.71	0.066
123	MOHOLE AREA	415	144	34.7	0.011
124	CAPITAL	528	183	34.66	0.03
125	ANTS	202	70	34.65	0.093
126	TOLL STATION	474	164	34.6	0.036
127	METHANE FROM TITAN	532	184	34.59	0.055
128	STANDARD TECHNOLOGY	565	195	34.51	-0.016
129	MINING EXPEDITION	356	122	34.27	-0.006
130	SATELLITES	488	167	34.22	0.012
131	FUEL FACTORY	577	197	34.14	0.007
132	GREAT ESCARPMENT CONSORTIUM	415	141	33.98	0.018
133	BRIBED COMMITTEE	424	144	33.96	0.013
134	NOCTIS CITY	678	230	33.92	0.028
135	IMMIGRANT CITY	777	263	33.85	0.013
136	BUILDING INDUSTRIES	549	185	33.7	-0.009
137	SPACE ELEVATOR	662	222	33.53	0.027
138	DOMED CRATER	457	153	33.48	0.052
139	LICHEN	481	161	33.47	-0.02
140	RAD-CHEM FACTORY	601	201	33.44	-0.002
141	FUELED GENERATORS	335	112	33.43	-0.041
142	TITANIUM MINE	649	216	33.28	0.008
143	WORMS	166	55	33.13	-0.016
144	ASTEROID MINING CONSORTIUM	666	220	33.03	0.014
145	ADAPTATION TECHNOLOGY	270	89	32.96	0.041
146	SEARCH FOR LIFE	355	117	32.96	-0.044
147	SPONSORS	619	204	32.96	0.024
148	URBANIZED AREA	601	197	32.78	-0.005
149	BIOMASS COMBUSTORS	147	48	32.65	0.003
150	ASTEROID MINING	623	203	32.58	0.028
151	POWER SUPPLY CONSORTIUM	280	91	32.5	0.004
152	ARTIFICIAL PHOTOSYNTHESIS	460	149	32.39	0.043
153	IMPORT OF ADVANCED GHG	552	178	32.25	-0.047
154	SF MEMORIAL	614	198	32.25	0.012
155	ARCHAEBACTERIA	314	101	32.17	-0.039
156	LAVA FLOWS	487	156	32.03	0.031
157	CORPORATE STRONGHOLD	367	117	31.88	0.025
158	HOUSE PRINTING	593	189	31.87	0.035
159	MINE	649	206	31.74	0.041
160	ZEPPELINS	383	121	31.59	0.03
161	MARTIAN RAILS	334	104	31.14	0.014
162	SPACE HOTELS	559	174	31.13	0.024
163	VESTA SHIPYARD	708	219	30.93	-0.023
164	WAVE POWER	372	115	30.91	0.0
165	IMMIGRATION SHUTTLES	552	170	30.8	0.012
166	PEROXIDE POWER	354	109	30.79	0.016
167	MARTIAN SURVEY	394	121	30.71	-0.049
168	GREAT DAM	391	120	30.69	0.018
169	RAD-SUITS	427	131	30.68	0.032
170	ACQUIRED COMPANY	538	165	30.67	-0.047
171	DUST SEALS	150	46	30.67	0.048
172	HACKERS	134	41	30.6	0.029
173	TARDIGRADES	157	48	30.57	0.096
174	INDUSTRIAL MICROBES	563	172	30.55	-0.042
175	DESIGNED MICROORGANISMS	393	120	30.53	0.004
176	POWER PLANT	508	154	30.31	-0.042
177	NITRITE REDUCING BACTERIA	254	77	30.31	-0.022
178	POWER INFRASTRUCTURE	139	42	30.22	0.035
179	CUPOLA CITY	541	163	30.13	-0.013
180	CLOUD SEEDING	297	89	29.97	0.014
181	ADAPTED LICHEN	367	108	29.43	-0.018
182	STRIP MINE	506	148	29.25	-0.029
183	SOIL FACTORY	252	73	28.97	0.019
184	INSULATION	94	27	28.72	-0.037
185	AQUIFER PUMPING	88	25	28.41	0.058
186	LAVA TUBE SETTLEMENT	512	145	28.32	-0.042
187	PHYSICS COMPLEX	286	81	28.32	-0.016
188	CALLISTO PENAL MINES	580	164	28.28	-0.023
189	SOLAR POWER	437	123	28.15	0.022
190	BEAM FROM A THORIUM ASTEROID	381	107	28.08	-0.033
191	GHG FACTORIES	273	76	27.84	-0.114
192	LUNAR BEAM	288	80	27.78	-0.019
193	GIANT SPACE MIRROR	332	92	27.71	0.025
194	BLACK POLAR DUST	199	55	27.64	-0.053
195	RELEASE OF INERT GASES	440	121	27.5	0.003
196	GEOTHERMAL POWER	395	105	26.58	-0.027
197	PHOBOS SPACE HAVEN	637	169	26.53	-0.051
198	TECTONIC STRESS POWER	279	74	26.52	-0.027
199	CARBONATE PROCESSING	276	72	26.09	-0.061
200	UNDERGROUND CITY	528	137	25.95	-0.057
201	FUSION POWER	352	90	25.57	-0.031
202	ENERGY SAVING	220	56	25.45	-0.121
203	TROPICAL RESORT	302	76	25.17	-0.051
204	MICRO-MILLS	159	40	25.16	0.003
205	EXTREME-COLD FUNGUS	240	60	25.0	0.008
206	NUCLEAR POWER	290	72	24.83	-0.044
207	WATER SPLITTING PLANT	61	15	24.59	0.1
208	FOOD FACTORY	279	68	24.37	-0.051
209	AEROBRAKED AMMONIA ASTEROID	156	38	24.36	-0.068
210	POWER GRID	79	19	24.05	-0.073
211	SOLETTA	188	42	22.34	-0.187
212	REGOLITH EATERS	188	41	21.81	0.002
213	SECURITY FLEET	222	47	21.17	0.044
214	SPACE MIRRORS	161	28	17.39	-0.12
215	UNDERGROUND DETONATIONS	37	3	8.11	-0.136
